entity_name,entity_type,country,aum_usd,contact_count,transaction_count,completeness_score,red_flags
"Pennsylvania State University, Office of Investment Management",Endowment,United States,19704296000,1,0,0.2643,no_transactions_or_rfps
3i Group PLC,Asset Manager,United Kingdom,24009463040,1,0,0.2643,no_transactions_or_rfps
Assumption College,Endowment,United States,249199201,1,0,0.2624,no_transactions_or_rfps
Athabasca University,Endowment,Canada,78399000,1,0,0.2624,no_transactions_or_rfps
Babson College,Endowment,United States,1127524372,1,0,0.2624,no_transactions_or_rfps
Chaminade University of Honolulu,Endowment,United States,112004355,1,0,0.2624,no_transactions_or_rfps
Hampton University,Endowment,United States,891896119,1,0,0.2624,no_transactions_or_rfps
Indiana Wesleyan University,Endowment,United States,594204307,1,0,0.2624,no_transactions_or_rfps
LeTourneau University,Endowment,United States,128345849,1,0,0.2624,no_transactions_or_rfps
Mary Baldwin University,Endowment,United States,71020083,1,0,0.2624,no_transactions_or_rfps
Abilene Christian University,Endowment,United States,1255365314,1,0,0.2605,no_transactions_or_rfps
Gonzaga University,Endowment,United States,1082570000,1,0,0.2605,no_transactions_or_rfps
University of Texas Investment Management Company,Sovereign Wealth Fund,United States,66016800000,1,0,0.2588,no_transactions_or_rfps
Carnegie Mellon University,Endowment,United States,6849964000,1,0,0.2586,no_transactions_or_rfps
Illinois Institute of Technology,Endowment,United States,761305000,1,0,0.2586,no_transactions_or_rfps
La Salle University,Endowment,United States,272515762,1,0,0.2586,no_transactions_or_rfps
Olds College,Endowment,Canada,28658863,1,0,0.2586,no_transactions_or_rfps
African Development Bank,Development Bank,Cote D'Ivoire,50911052580,1,0,0.2586,no_transactions_or_rfps
Turkiye Sinai Kalkinma Bankasi A.S.,Development Bank,Turkey,6079790910,1,0,0.2586,no_transactions_or_rfps
Druk Holding and Investments,Sovereign Wealth Fund,Bhutan,3258315564,1,0,0.2567,no_transactions_or_rfps
North Dakota Legacy Fund,Sovereign Wealth Fund,United States,8998684836,1,0,0.2567,no_transactions_or_rfps
Alfred University,Endowment,United States,386336406,1,0,0.2567,no_transactions_or_rfps
Biola University,Endowment,United States,465270000,1,0,0.2567,no_transactions_or_rfps
Boston College,Endowment,United States,6667643000,1,0,0.2567,no_transactions_or_rfps
