entity_name,entity_type,country,aum_usd,contact_count,transaction_count,completeness_score,red_flags
Pittsburg State University Foundation,Endowment,United States,117073951,1,0,0.1977,no_transactions_or_rfps
Development Bank of Nigeria,Development Bank,Nigeria,706676499,1,0,0.1977,no_transactions_or_rfps
National Development Bank of Sri Lanka,Development Bank,Sri Lanka,2395996200,1,0,0.1977,no_transactions_or_rfps
Kahnawake Sovereign Wealth Fund,Sovereign Wealth Fund,Canada,23829664,1,0,0.1970,no_transactions_or_rfps
State Capital Investment Corporation,Sovereign Wealth Fund,Vietnam,2402140000,1,0,0.1958,no_transactions_or_rfps
Loma Linda University,Endowment,United States,2016314000,1,0,0.1958,no_transactions_or_rfps
Luther Seminary,Endowment,United States,151011872,1,0,0.1958,no_transactions_or_rfps
Olivet Nazarene University,Endowment,United States,272478399,1,0,0.1958,no_transactions_or_rfps
Florida Southern College,Endowment,United States,271961849,1,0,0.1939,no_transactions_or_rfps
Harford Community College Foundation,Endowment,United States,18413309,1,0,0.1939,no_transactions_or_rfps
Kalamazoo Valley Community College,Endowment,United States,31618922,1,0,0.1939,no_transactions_or_rfps
Minnesota State University,Endowment,United States,77015000,1,0,0.1939,no_transactions_or_rfps
Murray State University,Endowment,United States,158062479,1,0,0.1939,no_transactions_or_rfps
Central Bank of Costa Rica,Central Bank,Costa Rica,10137488988.35,1,0,0.1939,no_transactions_or_rfps
Asyaf Investments,Asset Manager,Saudi Arabia,2991005,1,0,0.1934,no_transactions_or_rfps
Austin Community College,Endowment,United States,1319951892,1,0,0.1920,no_transactions_or_rfps
"Beijing State-Owned Assets Management Co., Ltd.",Sovereign Wealth Fund,China,27986982351,1,0,0.1901,no_transactions_or_rfps
Franklin & Marshall College,Endowment,United States,782792000,1,0,0.1901,no_transactions_or_rfps
Merrimack College,Endowment,United States,261030125,1,0,0.1901,no_transactions_or_rfps
Luther College,Endowment,United States,330104834,1,0,0.1892,no_transactions_or_rfps
Emirates Investment Authority,Sovereign Wealth Fund,United Arab Emirates,87000000000,1,0,0.1882,no_transactions_or_rfps
